TICKER,SICCD,sic_divisions,sic_detailed
PPL,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
ST,4011,"Transportation, Communications & Utilities",Transportation
RVB,3351,Manufacturing,Primary Metal Industries
LLT,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
CLL,2911,Manufacturing,Petroleum Refining
RKS,3714,Manufacturing,Transportation Equipment
ADC,2085,Manufacturing,Food & Kindred Products
CD,2086,Manufacturing,Food & Kindred Products
IOP,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
OM,3519,Manufacturing,Industrial Machinery & Equipment
MNC,2661,Manufacturing,Paper & Allied Products
PW,6799,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PSC,3312,Manufacturing,Primary Metal Industries
BLD,3549,Manufacturing,Industrial Machinery & Equipment
MGR,3634,Manufacturing,Electronic & Other Electrical Equipment
IWG,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
APS,3490,Manufacturing,Fabricated Metal Products
PVH,2331,Manufacturing,Apparel
SHL,3714,Manufacturing,Transportation Equipment
NFG,4923,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
KMB,2621,Manufacturing,Paper & Allied Products
TR,1311,Mining,Oil & Gas Extraction
AWC,3333,Manufacturing,Primary Metal Industries
AHC,3429,Manufacturing,Fabricated Metal Products
GLZ,3492,Manufacturing,Fabricated Metal Products
AH,3511,Manufacturing,Industrial Machinery & Equipment
ABA,2051,Manufacturing,Food & Kindred Products
SNU,2131,Manufacturing,Tobacco Products
NML,3999,Manufacturing,Miscellaneous Manufacturing
RGS,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
CCK,3411,Manufacturing,Fabricated Metal Products
RNO,1021,Mining,Metal Mining
HH,3714,Manufacturing,Transportation Equipment
SBC,2033,Manufacturing,Food & Kindred Products
HPT,2834,Manufacturing,Chemicals
CMR,3511,Manufacturing,Industrial Machinery & Equipment
RMC,2311,Manufacturing,Apparel
MUB,3339,Manufacturing,Primary Metal Industries
FCL,4119,"Transportation, Communications & Utilities",Transportation
LKB,2621,Manufacturing,Paper & Allied Products
MHP,2731,Manufacturing,Printing & Publishing
FOR,2834,Manufacturing,Chemicals
ABT,2834,Manufacturing,Chemicals
RCA,3662,Manufacturing,Electronic & Other Electrical Equipment
EQT,4924,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
SCT,3572,Manufacturing,Industrial Machinery & Equipment
PY,2911,Manufacturing,Petroleum Refining
CI,2051,Manufacturing,Food & Kindred Products
DHI,3714,Manufacturing,Transportation Equipment
AQP,3568,Manufacturing,Industrial Machinery & Equipment
PU,3743,Manufacturing,Transportation Equipment
CPC,2711,Manufacturing,Printing & Publishing
AZ,1499,Mining,Mining & Quarrying of Nonmetallic Minerals
XA,3311,Manufacturing,Primary Metal Industries
BOR,3561,Manufacturing,Industrial Machinery & Equipment
TLC,7379,Services,Business Services
CIS,6331,"Finance, Insurance & Real Estate",Insurance Carriers
IPK,6211,"Finance, Insurance & Real Estate",Securities & Commodities Brokers
AS,3312,Manufacturing,Primary Metal Industries
AMX,1011,Mining,Metal Mining
BST,5621,Retail Trade,Apparel & Accessory Stores
CH,3411,Manufacturing,Fabricated Metal Products
ATS,6149,"Finance, Insurance & Real Estate",Credit Agencies
SCO,3634,Manufacturing,Electronic & Other Electrical Equipment
SBK,4832,"Transportation, Communications & Utilities",Communications
CSC,1211,Mining,
SPA,3662,Manufacturing,Electronic & Other Electrical Equipment
ASC,5411,Retail Trade,Food Stores
GWD,3523,Manufacturing,Industrial Machinery & Equipment
KSF,2911,Manufacturing,Petroleum Refining
UTP,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
MPH,5311,Retail Trade,General Merchandise Stores
UEF,3549,Manufacturing,Industrial Machinery & Equipment
KGE,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
POR,3532,Manufacturing,Industrial Machinery & Equipment
SQD,3622,Manufacturing,Electronic & Other Electrical Equipment
GAC,6145,"Finance, Insurance & Real Estate",Credit Agencies
