TICKER,SICCD,sic_divisions,sic_detailed
GPV,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CTL,3312,Manufacturing,Primary Metal Industries
CPP,2621,Manufacturing,Paper & Allied Products
DXC,3241,Manufacturing,"Stone, Clay & Glass Products"
PDC,2834,Manufacturing,Chemicals
UGI,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PAC,4811,"Transportation, Communications & Utilities",Communications
AYP,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
MTI,3524,Manufacturing,Industrial Machinery & Equipment
SAJ,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PCG,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
LTV,3728,Manufacturing,Transportation Equipment
NSB,3732,Manufacturing,Transportation Equipment
KES,3496,Manufacturing,Fabricated Metal Products
CFF,2033,Manufacturing,Food & Kindred Products
OI,3221,Manufacturing,"Stone, Clay & Glass Products"
BRY,2021,Manufacturing,Food & Kindred Products
OTU,5311,Retail Trade,General Merchandise Stores
GBL,2082,Manufacturing,Food & Kindred Products
CRK,1041,Mining,Metal Mining
BOK,5961,Retail Trade,Miscellaneous Retail
BGG,3519,Manufacturing,Industrial Machinery & Equipment
OT,3534,Manufacturing,Industrial Machinery & Equipment
DTE,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
SGP,1041,Mining,Metal Mining
PBI,3579,Manufacturing,Industrial Machinery & Equipment
GPE,3662,Manufacturing,Electronic & Other Electrical Equipment
GRC,3310,Manufacturing,Primary Metal Industries
FD,3321,Manufacturing,Primary Metal Industries
CUD,2011,Manufacturing,Food & Kindred Products
ELG,4922,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
MOL,2011,Manufacturing,Food & Kindred Products
KLT,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
BDK,3541,Manufacturing,Industrial Machinery & Equipment
MO,2111,Manufacturing,Tobacco Products
CR,3494,Manufacturing,Fabricated Metal Products
PD,3331,Manufacturing,Primary Metal Industries
ATE,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PEP,2086,Manufacturing,Food & Kindred Products
PER,4011,"Transportation, Communications & Utilities",Transportation
SSH,3312,Manufacturing,Primary Metal Industries
RES,5712,Retail Trade,Home Furniture & Equipment
ACD,2812,Manufacturing,Chemicals
HI,3555,Manufacturing,Industrial Machinery & Equipment
FO,3275,Manufacturing,"Stone, Clay & Glass Products"
MIC,5099,Wholesale Trade,Wholesale Trade - Durable Goods
NGS,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
U,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
HFC,6145,"Finance, Insurance & Real Estate",Credit Agencies
PA,4011,"Transportation, Communications & Utilities",Transportation
DCN,3714,Manufacturing,Transportation Equipment
P,2911,Manufacturing,Petroleum Refining
TRA,3585,Manufacturing,Industrial Machinery & Equipment
PGS,1442,Mining,Mining & Quarrying of Nonmetallic Minerals
UA,3724,Manufacturing,Transportation Equipment
PGL,4923,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
GLI,3873,Manufacturing,Instruments & Related Products
OGE,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
RDL,3843,Manufacturing,Instruments & Related Products
PFK,2046,Manufacturing,Food & Kindred Products
FAW,3562,Manufacturing,Industrial Machinery & Equipment
CDR,2120,Manufacturing,Tobacco Products
ED,4932,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
CK,2211,Manufacturing,Textile Mill Products
ANG,4923,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
L,2911,Manufacturing,Petroleum Refining
GEN,3661,Manufacturing,Electronic & Other Electrical Equipment
CTN,2813,Manufacturing,Chemicals
CYC,4121,"Transportation, Communications & Utilities",Transportation
PN,4511,"Transportation, Communications & Utilities",Transportation
PXN,7813,Services,Motion Pictures
EAL,4511,"Transportation, Communications & Utilities",Transportation
SIM,2515,Manufacturing,Furniture & Fixtures
C,3711,Manufacturing,Transportation Equipment
NMK,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
UMM,2221,Manufacturing,Textile Mill Products
SCE,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
AMR,4511,"Transportation, Communications & Utilities",Transportation
FGT,5411,Retail Trade,Food Stores
F,3711,Manufacturing,Transportation Equipment
PIN,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PTC,2819,Manufacturing,Chemicals
SUO,2911,Manufacturing,Petroleum Refining
XL,3541,Manufacturing,Industrial Machinery & Equipment
SES,3312,Manufacturing,Primary Metal Industries
HD,1021,Mining,Metal Mining
YSD,3442,Manufacturing,Fabricated Metal Products
AHD,2870,Manufacturing,Chemicals
AP,3743,Manufacturing,Transportation Equipment
KMG,2911,Manufacturing,Petroleum Refining
FPL,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
ALL,2252,Manufacturing,Textile Mill Products
CWE,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
SHR,7011,Services,Hotels & Other Lodging Places
WKY,1211,Mining,
SYE,1311,Mining,Oil & Gas Extraction
EOS,5661,Retail Trade,Apparel & Accessory Stores
NEM,1382,Mining,Oil & Gas Extraction
SR,4011,"Transportation, Communications & Utilities",Transportation
AIC,6145,"Finance, Insurance & Real Estate",Credit Agencies
DH,4011,"Transportation, Communications & Utilities",Transportation
WP,2621,Manufacturing,Paper & Allied Products
LK,3721,Manufacturing,Transportation Equipment
ABP,4832,"Transportation, Communications & Utilities",Communications
CO,4011,"Transportation, Communications & Utilities",Transportation
SX,4011,"Transportation, Communications & Utilities",Transportation
HLR,7392,Services,Business Services
BWG,3275,Manufacturing,"Stone, Clay & Glass Products"
ARV,3714,Manufacturing,Transportation Equipment
PSU,2061,Manufacturing,Food & Kindred Products
ZB,2621,Manufacturing,Paper & Allied Products
AEP,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
CGG,3531,Manufacturing,Industrial Machinery & Equipment
FOE,2899,Manufacturing,Chemicals
AT,2111,Manufacturing,Tobacco Products
GIS,2043,Manufacturing,Food & Kindred Products
CYI,2844,Manufacturing,Chemicals
GCO,2341,Manufacturing,Apparel
CER,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
HCM,2816,Manufacturing,Chemicals
WOD,3312,Manufacturing,Primary Metal Industries
RGP,2641,Manufacturing,Paper & Allied Products
BKP,4611,"Transportation, Communications & Utilities",Transportation
RNI,3622,Manufacturing,Electronic & Other Electrical Equipment
HCA,7011,Services,Hotels & Other Lodging Places
CHB,3531,Manufacturing,Industrial Machinery & Equipment
BLI,3311,Manufacturing,Primary Metal Industries
EMI,3652,Manufacturing,Electronic & Other Electrical Equipment
FNT,3499,Manufacturing,Fabricated Metal Products
LEH,3231,Manufacturing,"Stone, Clay & Glass Products"
RNR,2611,Manufacturing,Paper & Allied Products
RL,2911,Manufacturing,Petroleum Refining
TMC,3211,Manufacturing,"Stone, Clay & Glass Products"
AB,3714,Manufacturing,Transportation Equipment
CC,6149,"Finance, Insurance & Real Estate",Credit Agencies
BEC,3841,Manufacturing,Instruments & Related Products
DUP,2282,Manufacturing,Textile Mill Products
AL,3361,Manufacturing,Primary Metal Industries
DOW,2812,Manufacturing,Chemicals
HAT,2272,Manufacturing,Textile Mill Products
RJR,2111,Manufacturing,Tobacco Products
CRS,3312,Manufacturing,Primary Metal Industries
COG,3980,Manufacturing,Miscellaneous Manufacturing
DML,2211,Manufacturing,Textile Mill Products
PMT,3313,Manufacturing,Primary Metal Industries
ASH,2911,Manufacturing,Petroleum Refining
CY,5090,Wholesale Trade,Wholesale Trade - Durable Goods
WXY,5812,Retail Trade,Eating & Drinking Places
RS,3312,Manufacturing,Primary Metal Industries
UCS,3317,Manufacturing,Primary Metal Industries
ANK,2823,Manufacturing,Chemicals
NG,3275,Manufacturing,"Stone, Clay & Glass Products"
TED,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
ML,3761,Manufacturing,Transportation Equipment
SGS,3499,Manufacturing,Fabricated Metal Products
CAY,3269,Manufacturing,"Stone, Clay & Glass Products"
RDG,4131,"Transportation, Communications & Utilities",Transportation
SIG,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
ANL,2211,Manufacturing,Textile Mill Products
Y,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
TWN,3728,Manufacturing,Transportation Equipment
EVY,2436,Manufacturing,Lumber & Wood Products
WDM,3843,Manufacturing,Instruments & Related Products
SJO,1031,Mining,Metal Mining
CLO,2661,Manufacturing,Paper & Allied Products
BUR,2211,Manufacturing,Textile Mill Products
CEG,2062,Manufacturing,Food & Kindred Products
ARH,3229,Manufacturing,"Stone, Clay & Glass Products"
CEA,3721,Manufacturing,Transportation Equipment
MCR,3714,Manufacturing,Transportation Equipment
SDS,3425,Manufacturing,Fabricated Metal Products
KO,2087,Manufacturing,Food & Kindred Products
S,5311,Retail Trade,General Merchandise Stores
BGE,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PCK,2819,Manufacturing,Chemicals
IK,3312,Manufacturing,Primary Metal Industries
GY,3011,Manufacturing,Rubber & Plastics Products
SVE,3231,Manufacturing,"Stone, Clay & Glass Products"
TSC,5211,Retail Trade,Building Materials & Garden Supplies
DMK,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PET,2023,Manufacturing,Food & Kindred Products
FW,3519,Manufacturing,Industrial Machinery & Equipment
MAD,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
AMF,3559,Manufacturing,Industrial Machinery & Equipment
SSC,1044,Mining,Metal Mining
FHK,5811,Retail Trade,Eating & Drinking Places
KFM,2511,Manufacturing,Furniture & Fixtures
ALS,5311,Retail Trade,General Merchandise Stores
AF,4910,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
CLU,2321,Manufacturing,Apparel
SLB,1381,Mining,Oil & Gas Extraction
BND,5611,Retail Trade,Apparel & Accessory Stores
SA,5411,Retail Trade,Food Stores
CBS,4832,"Transportation, Communications & Utilities",Communications
CG,4942,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PSY,2045,Manufacturing,Food & Kindred Products
MPL,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
AKD,3149,Manufacturing,Leather
CNV,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PSD,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
GA,2311,Manufacturing,Apparel
NEB,5311,Retail Trade,General Merchandise Stores
IPW,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
RHR,3728,Manufacturing,Transportation Equipment
MTC,2823,Manufacturing,Chemicals
OHO,2911,Manufacturing,Petroleum Refining
TV,2911,Manufacturing,Petroleum Refining
MAB,6792,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
M,5311,Retail Trade,General Merchandise Stores
DIA,2819,Manufacturing,Chemicals
UAL,4511,"Transportation, Communications & Utilities",Transportation
MHW,3573,Manufacturing,Industrial Machinery & Equipment
MA,5311,Retail Trade,General Merchandise Stores
COE,2211,Manufacturing,Textile Mill Products
BVA,3873,Manufacturing,Instruments & Related Products
CF,3312,Manufacturing,Primary Metal Industries
TWA,4511,"Transportation, Communications & Utilities",Transportation
BF,3465,Manufacturing,Fabricated Metal Products
KST,3429,Manufacturing,Fabricated Metal Products
MYG,3639,Manufacturing,Electronic & Other Electrical Equipment
AHP,3241,Manufacturing,"Stone, Clay & Glass Products"
MSS,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CPB,2032,Manufacturing,Food & Kindred Products
J,2911,Manufacturing,Petroleum Refining
MP,1041,Mining,Metal Mining
ACO,3312,Manufacturing,Primary Metal Industries
MGM,7813,Services,Motion Pictures
WLA,2834,Manufacturing,Chemicals
ISS,3143,Manufacturing,Leather
AUD,5320,Retail Trade,General Merchandise Stores
E,4011,"Transportation, Communications & Utilities",Transportation
SGM,3613,Manufacturing,Electronic & Other Electrical Equipment
JCP,5311,Retail Trade,General Merchandise Stores
MSH,2321,Manufacturing,Apparel
MSG,7941,Services,Amusement & Recreation
NCM,3541,Manufacturing,Industrial Machinery & Equipment
KSC,5331,Retail Trade,General Merchandise Stores
JJN,5331,Retail Trade,General Merchandise Stores
LG,4925,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
FDS,5311,Retail Trade,General Merchandise Stores
CTR,3531,Manufacturing,Industrial Machinery & Equipment
FST,5411,Retail Trade,Food Stores
WIN,5411,Retail Trade,Food Stores
PTE,4121,"Transportation, Communications & Utilities",Transportation
LR,6552,"Finance, Insurance & Real Estate",Real Estate
LV,4011,"Transportation, Communications & Utilities",Transportation
NC,3574,Manufacturing,Industrial Machinery & Equipment
GBS,6025,"Finance, Insurance & Real Estate",Banking
LNP,2840,Manufacturing,Chemicals
LM,2111,Manufacturing,Tobacco Products
HVG,3069,Manufacturing,Rubber & Plastics Products
HSC,3446,Manufacturing,Fabricated Metal Products
MZ,5311,Retail Trade,General Merchandise Stores
SO,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
LIO,3566,Manufacturing,Industrial Machinery & Equipment
MQ,3713,Manufacturing,Transportation Equipment
MEI,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
BA,3721,Manufacturing,Transportation Equipment
SRY,3743,Manufacturing,Transportation Equipment
SCH,2879,Manufacturing,Chemicals
LL,2111,Manufacturing,Tobacco Products
SN,2911,Manufacturing,Petroleum Refining
ADX,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CKL,3537,Manufacturing,Industrial Machinery & Equipment
LCE,3272,Manufacturing,"Stone, Clay & Glass Products"
DN,2645,Manufacturing,Paper & Allied Products
NOC,3721,Manufacturing,Transportation Equipment
KG,5331,Retail Trade,General Merchandise Stores
ES,3423,Manufacturing,Fabricated Metal Products
KT,4011,"Transportation, Communications & Utilities",Transportation
FWC,3511,Manufacturing,Industrial Machinery & Equipment
CCX,3312,Manufacturing,Primary Metal Industries
SOM,2911,Manufacturing,Petroleum Refining
EK,3861,Manufacturing,Instruments & Related Products
SKO,3651,Manufacturing,Electronic & Other Electrical Equipment
HEC,3662,Manufacturing,Electronic & Other Electrical Equipment
DWG,2120,Manufacturing,Tobacco Products
ESB,3691,Manufacturing,Electronic & Other Electrical Equipment
CS,2912,Manufacturing,Petroleum Refining
CN,4011,"Transportation, Communications & Utilities",Transportation
RBR,2952,Manufacturing,Petroleum Refining
CW,3724,Manufacturing,Transportation Equipment
MNT,2621,Manufacturing,Paper & Allied Products
WHR,3633,Manufacturing,Electronic & Other Electrical Equipment
NTY,5411,Retail Trade,Food Stores
NKP,4011,"Transportation, Communications & Utilities",Transportation
SCW,3316,Manufacturing,Primary Metal Industries
ADS,2048,Manufacturing,Food & Kindred Products
ZE,3651,Manufacturing,Electronic & Other Electrical Equipment
TXU,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
FPP,2653,Manufacturing,Paper & Allied Products
NFK,4011,"Transportation, Communications & Utilities",Transportation
UFO,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
KW,3714,Manufacturing,Transportation Equipment
HLY,2063,Manufacturing,Food & Kindred Products
UCB,2895,Manufacturing,Chemicals
CEI,3693,Manufacturing,Electronic & Other Electrical Equipment
AGM,2063,Manufacturing,Food & Kindred Products
MEA,2631,Manufacturing,Paper & Allied Products
OXP,2621,Manufacturing,Paper & Allied Products
SMC,3714,Manufacturing,Transportation Equipment
HKM,3251,Manufacturing,"Stone, Clay & Glass Products"
MLT,3621,Manufacturing,Electronic & Other Electrical Equipment
ENX,3714,Manufacturing,Transportation Equipment
NOM,1041,Mining,Metal Mining
DRE,2082,Manufacturing,Food & Kindred Products
CHC,3711,Manufacturing,Transportation Equipment
FPC,3699,Manufacturing,Electronic & Other Electrical Equipment
UFG,4712,"Transportation, Communications & Utilities",Transportation
CGH,3714,Manufacturing,Transportation Equipment
ACK,3996,Manufacturing,Miscellaneous Manufacturing
MRW,3711,Manufacturing,Transportation Equipment
AA,3353,Manufacturing,Primary Metal Industries
SW,8911,Services,
NAS,2711,Manufacturing,Printing & Publishing
MUN,2341,Manufacturing,Apparel
SWX,2011,Manufacturing,Food & Kindred Products
KLU,3334,Manufacturing,Primary Metal Industries
FBO,2651,Manufacturing,Paper & Allied Products
SE,3613,Manufacturing,Electronic & Other Electrical Equipment
G,4131,"Transportation, Communications & Utilities",Transportation
UCF,3452,Manufacturing,Fabricated Metal Products
DR,2085,Manufacturing,Food & Kindred Products
KSP,2621,Manufacturing,Paper & Allied Products
MIS,4922,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PFB,2082,Manufacturing,Food & Kindred Products
ET,3610,Manufacturing,Electronic & Other Electrical Equipment
EJN,3141,Manufacturing,Leather
LJ,2033,Manufacturing,Food & Kindred Products
AN,2813,Manufacturing,Chemicals
PCF,4222,"Transportation, Communications & Utilities",Transportation
BI,2052,Manufacturing,Food & Kindred Products
ABG,3731,Manufacturing,Transportation Equipment
PG,2841,Manufacturing,Chemicals
LT,2851,Manufacturing,Chemicals
LOF,3211,Manufacturing,"Stone, Clay & Glass Products"
HIR,2085,Manufacturing,Food & Kindred Products
ND,2022,Manufacturing,Food & Kindred Products
FT,1477,Mining,Mining & Quarrying of Nonmetallic Minerals
NS,3312,Manufacturing,Primary Metal Industries
AJ,3714,Manufacturing,Transportation Equipment
GRS,3622,Manufacturing,Electronic & Other Electrical Equipment
DI,3533,Manufacturing,Industrial Machinery & Equipment
HRZ,7512,Services,Auto Repair & Services
FLT,2819,Manufacturing,Chemicals
CSP,3499,Manufacturing,Fabricated Metal Products
ABC,5812,Retail Trade,Eating & Drinking Places
GRX,3255,Manufacturing,"Stone, Clay & Glass Products"
BGS,2279,Manufacturing,Textile Mill Products
STW,2389,Manufacturing,Apparel
AIN,3579,Manufacturing,Industrial Machinery & Equipment
SDG,2879,Manufacturing,Chemicals
BSE,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
GHH,2131,Manufacturing,Tobacco Products
HM,1041,Mining,Metal Mining
SRG,2834,Manufacturing,Chemicals
PEO,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
HW,3353,Manufacturing,Primary Metal Industries
MCC,3547,Manufacturing,Industrial Machinery & Equipment
CSS,5311,Retail Trade,General Merchandise Stores
TY,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
GRA,2819,Manufacturing,Chemicals
JEF,1477,Mining,Mining & Quarrying of Nonmetallic Minerals
NV,3714,Manufacturing,Transportation Equipment
CPM,2911,Manufacturing,Petroleum Refining
GPP,2621,Manufacturing,Paper & Allied Products
CPS,7813,Services,Motion Pictures
H,3589,Manufacturing,Industrial Machinery & Equipment
MCS,1629,Construction,Heavy Construction
GM,3711,Manufacturing,Transportation Equipment
WHX,3312,Manufacturing,Primary Metal Industries
CZ,2823,Manufacturing,Chemicals
LSG,4924,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
OLM,2810,Manufacturing,Chemicals
WKU,3511,Manufacturing,Industrial Machinery & Equipment
DM,1041,Mining,Metal Mining
OAT,2043,Manufacturing,Food & Kindred Products
HPC,2816,Manufacturing,Chemicals
DCS,2085,Manufacturing,Food & Kindred Products
NP,4011,"Transportation, Communications & Utilities",Transportation
SPP,2621,Manufacturing,Paper & Allied Products
DD,2892,Manufacturing,Chemicals
CSU,2061,Manufacturing,Food & Kindred Products
WPS,4924,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
GNI,6519,"Finance, Insurance & Real Estate",Real Estate
GN,4011,"Transportation, Communications & Utilities",Transportation
GR,3011,Manufacturing,Rubber & Plastics Products
DQU,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
GSW,2063,Manufacturing,Food & Kindred Products
GLN,2850,Manufacturing,Chemicals
MM,6025,"Finance, Insurance & Real Estate",Banking
TA,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
GF,2099,Manufacturing,Food & Kindred Products
GOU,7312,Services,Business Services
LIL,2621,Manufacturing,Paper & Allied Products
D,3724,Manufacturing,Transportation Equipment
IL,4011,"Transportation, Communications & Utilities",Transportation
GFO,4011,"Transportation, Communications & Utilities",Transportation
LNY,5621,Retail Trade,Apparel & Accessory Stores
GI,5311,Retail Trade,General Merchandise Stores
ACF,3743,Manufacturing,Transportation Equipment
CBO,3291,Manufacturing,"Stone, Clay & Glass Products"
CMY,2844,Manufacturing,Chemicals
USG,3275,Manufacturing,"Stone, Clay & Glass Products"
HWA,4941,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
FIR,3011,Manufacturing,Rubber & Plastics Products
AMZ,2531,Manufacturing,Furniture & Fixtures
IR,3563,Manufacturing,Industrial Machinery & Equipment
CL,2841,Manufacturing,Chemicals
IRC,4011,"Transportation, Communications & Utilities",Transportation
GET,2911,Manufacturing,Petroleum Refining
FNL,3356,Manufacturing,Primary Metal Industries
IT,3662,Manufacturing,Electronic & Other Electrical Equipment
CGR,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
RXM,2834,Manufacturing,Chemicals
ANC,5812,Retail Trade,Eating & Drinking Places
TRW,3714,Manufacturing,Transportation Equipment
FEN,3721,Manufacturing,Transportation Equipment
MLR,3554,Manufacturing,Industrial Machinery & Equipment
APO,2819,Manufacturing,Chemicals
JWT,5411,Retail Trade,Food Stores
GRR,3710,Manufacturing,Transportation Equipment
RD,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
KSU,4011,"Transportation, Communications & Utilities",Transportation
CIP,4939,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
NTA,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
TUW,3661,Manufacturing,Electronic & Other Electrical Equipment
INR,3914,Manufacturing,Miscellaneous Manufacturing
GAM,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
BAW,3443,Manufacturing,Fabricated Metal Products
AV,3660,Manufacturing,Electronic & Other Electrical Equipment
AOC,3832,Manufacturing,Instruments & Related Products
KYR,2321,Manufacturing,Apparel
HPG,2731,Manufacturing,Printing & Publishing
WAG,5912,Retail Trade,Miscellaneous Retail
OCF,3296,Manufacturing,"Stone, Clay & Glass Products"
SPS,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
KN,3331,Manufacturing,Primary Metal Industries
PCO,1211,Mining,
HML,2621,Manufacturing,Paper & Allied Products
N,1061,Mining,Metal Mining
REX,2834,Manufacturing,Chemicals
UEP,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
PDG,5912,Retail Trade,Miscellaneous Retail
MQC,3241,Manufacturing,"Stone, Clay & Glass Products"
WH,3711,Manufacturing,Transportation Equipment
SDO,4911,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
MF,5311,Retail Trade,General Merchandise Stores
WSW,3636,Manufacturing,Electronic & Other Electrical Equipment
DE,3523,Manufacturing,Industrial Machinery & Equipment
IAD,3312,Manufacturing,Primary Metal Industries
GE,3634,Manufacturing,Electronic & Other Electrical Equipment
BK,3549,Manufacturing,Industrial Machinery & Equipment
ABK,3310,Manufacturing,Primary Metal Industries
IC,3622,Manufacturing,Electronic & Other Electrical Equipment
WWP,4931,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
ACN,3496,Manufacturing,Fabricated Metal Products
STF,2819,Manufacturing,Chemicals
GD,3721,Manufacturing,Transportation Equipment
NTR,6399,"Finance, Insurance & Real Estate",Insurance Carriers
